FileFormat:0002.2 file with temperature of atmosphere
SN105HE102
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
56,45	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.4.20120406
MTP5HE102F5645K-38.60I70D219217+A1.1
Commentary:
SN105HE102
парабола ДНА = 2,5 град
НЕ102 - ПУ - ХВБ с ЦСД " S "
АЦП - 202 - 09 с контр.U пит.и М
оптопара серии - 2
Т out № 178 пл
БП LPS - 112
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	OutsideTemperature
17/06/2019 00:00:00	15,13	15,19	14,90	14,57	14,20	13,87	13,50	13,05	12,67	12,30	11,91	11,54	11,17	10,81	10,45	10,08	9,72	9,35	8,99	8,61	8,24	15,57
17/06/2019 00:05:00	15,11	14,91	14,61	14,30	13,99	13,69	13,36	12,96	12,58	12,21	11,84	11,48	11,11	10,76	10,40	10,03	9,67	9,30	8,93	8,55	8,16	15,46
17/06/2019 00:10:00	15,03	15,02	14,77	14,47	14,12	13,77	13,39	12,96	12,57	12,18	11,80	11,43	11,05	10,69	10,32	9,95	9,58	9,21	8,84	8,46	8,09	15,47
17/06/2019 00:15:00	15,09	14,85	14,54	14,25	13,97	13,60	13,24	12,94	12,61	12,26	11,85	11,47	11,09	10,73	10,37	10,02	9,67	9,31	8,96	8,59	8,21	15,37
17/06/2019 00:20:00	14,86	14,86	14,63	14,36	14,03	13,66	13,30	12,93	12,54	12,15	11,76	11,39	11,01	10,64	10,28	9,91	9,54	9,17	8,81	8,43	8,06	15,25
17/06/2019 00:25:00	14,82	14,82	14,53	14,19	13,81	13,40	12,99	12,58	12,22	11,87	11,50	11,15	10,79	10,45	10,11	9,76	9,41	9,07	8,72	8,37	8,02	15,29
17/06/2019 00:30:00	14,76	14,76	14,51	14,19	13,78	13,41	13,04	12,67	12,27	11,87	11,52	11,18	10,83	10,49	10,15	9,80	9,44	9,09	8,74	8,38	8,03	15,15
17/06/2019 00:35:00	14,86	14,64	14,35	14,04	13,67	13,32	12,97	12,62	12,27	11,90	11,46	11,05	10,64	10,27	9,90	9,55	9,19	8,84	8,48	8,11	7,75	15,22
17/06/2019 00:40:00	14,79	14,79	14,50	14,17	13,82	13,46	13,09	12,70	12,34	11,99	11,62	11,27	10,91	10,57	10,23	9,88	9,53	9,18	8,82	8,47	8,11	15,16
17/06/2019 00:45:00	14,82	14,71	14,36	13,97	13,55	13,20	12,83	12,42	12,05	11,69	11,32	10,98	10,63	10,30	9,96	9,62	9,28	8,93	8,59	8,24	7,89	15,22
17/06/2019 00:50:00	14,70	14,68	14,32	13,96	13,66	13,23	12,82	12,44	12,07	11,70	11,34	11,00	10,65	10,31	9,97	9,62	9,27	8,92	8,57	8,22	7,86	15,04
17/06/2019 00:55:00	14,99	15,00	14,65	14,26	13,88	13,47	13,06	12,64	12,27	11,92	11,55	11,20	10,86	10,52	10,18	9,83	9,49	9,14	8,80	8,44	8,09	15,01
17/06/2019 01:00:00	14,92	14,97	14,65	14,26	13,81	13,41	13,01	12,59	12,25	11,92	11,55	11,20	10,86	10,53	10,20	9,87	9,53	9,20	8,87	8,54	8,20	15,10
17/06/2019 01:05:00	14,88	14,89	14,56	14,20	13,85	13,47	13,06	12,65	12,24	11,84	11,48	11,14	10,79	10,44	10,09	9,73	9,36	9,00	8,64	8,27	7,90	14,95
17/06/2019 01:10:00	14,90	14,81	14,52	14,19	13,82	13,39	12,95	12,52	12,15	11,80	11,40	11,02	10,65	10,29	9,93	9,57	9,21	8,86	8,51	8,16	7,81	14,93
17/06/2019 01:15:00	14,87	14,75	14,46	14,14	13,78	13,40	13,01	12,60	12,20	11,80	11,38	10,99	10,59	10,21	9,83	9,46	9,09	8,72	8,35	7,98	7,61	14,72
17/06/2019 01:20:00	14,76	14,80	14,50	14,13	13,73	13,34	12,94	12,54	12,19	11,83	11,34	10,91	10,48	10,10	9,71	9,36	9,01	8,66	8,31	7,96	7,60	14,79
17/06/2019 01:25:00	14,78	14,62	14,32	14,00	13,66	13,24	12,82	12,42	12,02	11,62	11,22	10,83	10,44	10,07	9,70	9,33	8,96	8,60	8,23	7,87	7,50	14,68
17/06/2019 01:30:00	14,70	14,59	14,32	14,02	13,67	13,29	12,90	12,51	12,12	11,73	11,34	10,96	10,58	10,22	9,85	9,49	9,12	8,76	8,40	8,04	7,67	14,58
17/06/2019 01:35:00	14,69	14,60	14,29	13,93	13,52	13,05	12,61	12,22	11,82	11,43	11,07	10,72	10,37	10,02	9,68	9,33	8,98	8,63	8,29	7,95	7,61	14,59
17/06/2019 01:40:00	14,57	14,46	14,16	13,85	13,52	13,06	12,63	12,26	11,89	11,51	11,10	10,72	10,34	9,98	9,61	9,25	8,90	8,55	8,20	7,84	7,49	14,58
17/06/2019 01:45:00	14,62	14,33	14,00	13,66	13,30	12,93	12,57	12,20	11,85	11,50	11,09	10,70	10,32	9,96	9,60	9,25	8,90	8,56	8,21	7,86	7,50	14,52
17/06/2019 01:50:00	14,54	14,33	13,94	13,58	13,25	12,80	12,39	12,04	11,70	11,35	10,92	10,53	10,15	9,79	9,43	9,09	8,75	8,41	8,08	7,73	7,39	14,38
17/06/2019 01:55:00	14,41	14,24	13,88	13,51	13,12	12,71	12,31	11,91	11,54	11,16	10,77	10,40	10,03	9,68	9,32	8,98	8,63	8,29	7,95	7,60	7,26	14,35
17/06/2019 02:00:00	14,42	14,19	13,78	13,37	13,00	12,55	12,13	11,75	11,37	10,99	10,60	10,23	9,86	9,51	9,16	8,82	8,47	8,14	7,80	7,46	7,11	14,19
17/06/2019 02:05:00	14,29	14,13	13,74	13,30	12,84	12,42	12,00	11,56	11,14	10,74	10,34	9,96	9,59	9,23	8,87	8,53	8,18	7,84	7,50	7,16	6,83	14,25
17/06/2019 02:10:00	14,24	13,93	13,55	13,17	12,80	12,35	11,92	11,52	11,13	10,73	10,35	9,99	9,62	9,26	8,91	8,56	8,20	7,86	7,52	7,17	6,83	14,11
17/06/2019 02:15:00	14,09	13,88	13,47	13,05	12,66	12,27	11,90	11,53	11,12	10,71	10,29	9,89	9,50	9,13	8,77	8,42	8,07	7,73	7,39	7,04	6,69	13,95
17/06/2019 02:20:00	13,73	13,53	13,12	12,71	12,35	11,91	11,51	11,14	10,75	10,37	10,03	9,70	9,36	9,04	8,71	8,37	8,04	7,71	7,38	7,06	6,73	13,84
17/06/2019 02:25:00	13,80	13,54	13,16	12,77	12,36	12,01	11,68	11,34	10,96	10,58	10,24	9,91	9,58	9,26	8,94	8,61	8,28	7,96	7,63	7,30	6,96	13,74
17/06/2019 02:30:00	13,74	13,53	13,13	12,72	12,37	11,97	11,60	11,26	10,89	10,51	10,07	9,67	9,27	8,91	8,55	8,21	7,88	7,54	7,21	6,88	6,54	13,75
17/06/2019 02:35:00	13,61	13,46	13,12	12,75	12,34	11,90	11,49	11,10	10,71	10,33	9,93	9,55	9,18	8,83	8,48	8,13	7,79	7,46	7,14	6,81	6,48	13,57
17/06/2019 02:40:00	13,56	13,37	12,97	12,56	12,14	11,75	11,38	11,03	10,60	10,19	9,86	9,53	9,21	8,88	8,56	8,22	7,89	7,56	7,23	6,90	6,58	13,65
17/06/2019 02:45:00	13,44	13,30	12,95	12,57	12,15	11,73	11,31	10,88	10,46	10,05	9,65	9,27	8,89	8,52	8,16	7,81	7,45	7,12	6,78	6,45	6,11	13,48
17/06/2019 02:50:00	13,50	13,25	12,81	12,36	11,92	11,45	11,02	10,61	10,31	10,01	9,63	9,28	8,94	8,62	8,31	8,00	7,70	7,41	7,12	6,83	6,54	13,45
17/06/2019 02:55:00	13,29	13,03	12,67	12,28	11,85	11,46	11,04	10,61	10,19	9,77	9,42	9,07	8,72	8,38	8,03	7,68	7,33	7,00	6,66	6,33	6,00	13,29
17/06/2019 03:00:00	13,22	12,98	12,57	12,15	11,74	11,35	10,96	10,57	10,16	9,77	9,43	9,09	8,76	8,43	8,10	7,77	7,43	7,11	6,79	6,47	6,15	13,16
17/06/2019 03:05:00	13,02	12,91	12,59	12,19	11,71	11,22	10,77	10,33	9,96	9,60	9,22	8,86	8,51	8,18	7,84	7,51	7,19	6,88	6,58	6,28	5,99	13,09
17/06/2019 03:10:00	12,95	12,89	12,51	12,08	11,64	11,26	10,85	10,42	9,99	9,58	9,17	8,79	8,41	8,05	7,69	7,34	7,00	6,67	6,34	6,02	5,69	13,05
17/06/2019 03:15:00	13,00	12,89	12,54	12,14	11,69	11,27	10,87	10,46	10,05	9,64	9,27	8,91	8,55	8,21	7,87	7,53	7,19	6,87	6,55	6,23	5,91	13,04
17/06/2019 03:20:00	12,96	12,71	12,33	11,94	11,52	11,10	10,69	10,28	9,92	9,57	9,20	8,86	8,51	8,18	7,85	7,53	7,20	6,89	6,59	6,28	5,98	12,98
17/06/2019 03:25:00	12,92	12,77	12,44	12,00	11,46	11,04	10,65	10,25	9,83	9,43	9,08	8,75	8,42	8,10	7,78	7,46	7,13	6,83	6,52	6,23	5,93	12,94
17/06/2019 03:30:00	12,90	12,68	12,27	11,83	11,35	10,89	10,50	10,17	9,75	9,35	9,01	8,69	8,37	8,06	7,75	7,43	7,11	6,81	6,51	6,22	5,92	12,91
17/06/2019 03:35:00	12,74	12,61	12,20	11,74	11,24	10,86	10,47	10,05	9,70	9,37	9,01	8,68	8,35	8,04	7,73	7,43	7,13	6,84	6,55	6,26	5,98	12,80
17/06/2019 03:40:00	12,73	12,42	12,04	11,65	11,23	10,84	10,48	10,15	9,79	9,43	9,06	8,71	8,36	8,03	7,71	7,39	7,08	6,77	6,47	6,17	5,86	12,68
17/06/2019 03:45:00	12,47	12,19	11,83	11,44	11,01	10,64	10,26	9,87	9,56	9,25	8,92	8,61	8,30	8,00	7,70	7,39	7,09	6,80	6,51	6,23	5,94	12,52
17/06/2019 03:50:00	12,34	12,06	11,70	11,35	11,00	10,60	10,26	9,97	9,65	9,31	8,93	8,58	8,23	7,91	7,59	7,28	6,97	6,68	6,38	6,09	5,79	12,37
17/06/2019 03:55:00	12,27	11,93	11,57	11,16	10,70	10,34	9,99	9,65	9,34	9,04	8,72	8,42	8,12	7,84	7,55	7,26	6,97	6,70	6,43	6,15	5,88	12,26
17/06/2019 04:00:00	12,09	11,89	11,43	10,96	10,50	10,12	9,78	9,46	9,13	8,83	8,58	8,34	8,10	7,85	7,60	7,32	7,05	6,79	6,53	6,27	6,00	12,16
17/06/2019 04:05:00	12,09	11,83	11,39	10,95	10,54	10,20	9,85	9,50	9,09	8,73	8,50	8,24	7,99	7,72	7,44	7,13	6,82	6,53	6,24	5,94	5,65	12,07
17/06/2019 04:10:00	12,04	11,76	11,34	10,91	10,46	10,12	9,77	9,40	9,09	8,79	8,50	8,23	7,95	7,68	7,40	7,12	6,83	6,56	6,29	6,02	5,75	12,05
17/06/2019 04:15:00	12,02	11,64	11,21	10,80	10,44	10,07	9,73	9,42	9,13	8,85	8,56	8,28	8,01	7,74	7,46	7,18	6,90	6,63	6,36	6,08	5,81	12,00
17/06/2019 04:20:00	11,96	11,74	11,30	10,87	10,49	10,08	9,71	9,36	9,02	8,70	8,44	8,18	7,93	7,66	7,39	7,09	6,80	6,52	6,25	5,97	5,70	11,95
17/06/2019 04:25:00	11,86	11,64	11,20	10,77	10,39	9,99	9,63	9,30	9,01	8,73	8,42	8,14	7,85	7,58	7,30	7,02	6,74	6,48	6,21	5,95	5,68	11,89
17/06/2019 04:30:00	11,82	11,61	11,19	10,74	10,30	9,91	9,55	9,20	8,93	8,70	8,50	8,30	8,10	7,88	7,66	7,40	7,15	6,90	6,66	6,42	6,18	11,85
17/06/2019 04:35:00	11,80	11,53	11,12	10,72	10,35	9,99	9,64	9,32	9,07	8,83	8,58	8,34	8,10	7,86	7,61	7,35	7,08	6,82	6,56	6,31	6,05	11,72
17/06/2019 04:40:00	11,65	11,42	11,07	10,71	10,36	10,03	9,72	9,45	9,20	8,98	8,80	8,61	8,42	8,21	7,99	7,73	7,48	7,23	6,98	6,72	6,47	11,67
17/06/2019 04:45:00	11,42	11,26	10,98	10,66	10,27	9,99	9,72	9,45	9,26	9,09	8,95	8,81	8,66	8,48	8,30	8,06	7,82	7,59	7,36	7,12	6,89	11,52
17/06/2019 04:50:00	11,38	11,16	10,94	10,68	10,35	10,08	9,84	9,65	9,39	9,18	9,03	8,86	8,70	8,49	8,29	8,03	7,77	7,51	7,25	6,99	6,73	11,48
17/06/2019 04:55:00	11,32	11,23	10,96	10,64	10,29	10,09	9,88	9,68	9,44	9,21	9,01	8,81	8,61	8,39	8,18	7,92	7,67	7,42	7,17	6,91	6,65	11,37
17/06/2019 05:00:00	11,41	11,21	10,85	10,52	10,25	9,93	9,67	9,46	9,25	9,07	8,94	8,79	8,65	8,46	8,27	8,03	7,79	7,55	7,31	7,07	6,82	11,43
17/06/2019 05:05:00	11,46	11,18	10,83	10,49	10,18	9,91	9,67	9,46	9,24	9,06	8,94	8,80	8,66	8,48	8,30	8,06	7,82	7,58	7,34	7,09	6,85	11,42
17/06/2019 05:10:00	11,38	11,14	10,79	10,44	10,12	9,81	9,58	9,42	9,21	9,02	8,86	8,71	8,55	8,36	8,18	7,95	7,72	7,49	7,25	7,01	6,78	11,42
17/06/2019 05:15:00	11,27	11,10	10,77	10,42	10,09	9,77	9,52	9,32	9,09	8,92	8,84	8,75	8,65	8,49	8,33	8,10	7,87	7,64	7,42	7,19	6,95	11,32
17/06/2019 05:20:00	11,24	11,02	10,66	10,34	10,10	9,80	9,53	9,29	9,11	8,94	8,76	8,58	8,41	8,20	8,00	7,75	7,51	7,26	7,02	6,77	6,52	11,13
