FileFormat:0002.2 file with temperature of atmosphere
SN105HE102
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
56,45	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.4.20120406
MTP5HE102F5645K-38.60I70D219217+A1.1
Commentary:
SN105HE102
парабола ДНА = 2,5 град
НЕ102 - ПУ - ХВБ с ЦСД " S "
АЦП - 202 - 09 с контр.U пит.и М
оптопара серии - 2
Т out № 178 пл
БП LPS - 112
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	OutsideTemperature
22/06/2019 00:00:00	19,80	21,35	21,36	21,15	20,78	20,27	19,76	19,31	18,85	18,41	18,00	17,63	17,26	16,88	16,50	16,06	15,63	15,18	14,72	14,26	13,80	18,41
22/06/2019 00:05:00	19,95	21,36	21,33	21,09	20,66	20,18	19,69	19,19	18,75	18,36	17,97	17,61	17,24	16,87	16,50	16,08	15,66	15,22	14,77	14,33	13,88	18,85
22/06/2019 00:10:00	19,68	21,21	21,24	21,02	20,60	20,13	19,65	19,20	18,77	18,37	18,00	17,65	17,31	16,95	16,59	16,18	15,77	15,33	14,89	14,45	14,01	18,65
22/06/2019 00:15:00	19,46	21,19	21,30	21,12	20,71	20,26	19,80	19,33	18,87	18,42	18,00	17,62	17,24	16,85	16,46	16,03	15,59	15,14	14,68	14,22	13,76	18,04
22/06/2019 00:20:00	19,14	21,11	21,29	21,15	20,76	20,29	19,80	19,30	18,82	18,36	17,96	17,59	17,21	16,82	16,43	15,98	15,54	15,08	14,62	14,16	13,70	17,69
22/06/2019 00:25:00	19,32	20,96	21,14	21,04	20,67	20,27	19,84	19,35	18,87	18,40	18,01	17,63	17,25	16,86	16,46	16,00	15,55	15,08	14,61	14,13	13,66	17,56
22/06/2019 00:30:00	19,16	21,07	21,24	21,09	20,70	20,20	19,69	19,18	18,72	18,32	17,90	17,52	17,14	16,75	16,36	15,92	15,49	15,04	14,59	14,14	13,70	17,58
22/06/2019 00:35:00	19,12	21,11	21,28	21,12	20,67	20,20	19,74	19,25	18,77	18,32	17,90	17,52	17,14	16,75	16,36	15,93	15,49	15,04	14,59	14,14	13,69	17,57
22/06/2019 00:40:00	18,84	20,95	21,19	21,08	20,69	20,21	19,71	19,18	18,75	18,39	17,94	17,54	17,14	16,74	16,34	15,90	15,47	15,03	14,58	14,14	13,71	17,33
22/06/2019 00:45:00	18,30	20,70	21,11	21,14	20,82	20,44	20,00	19,49	19,01	18,57	18,16	17,76	17,37	16,96	16,55	16,09	15,62	15,15	14,67	14,20	13,73	16,97
22/06/2019 00:50:00	18,34	20,92	21,32	21,32	20,96	20,51	20,01	19,48	19,00	18,56	18,06	17,61	17,16	16,72	16,28	15,81	15,35	14,87	14,40	13,93	13,46	16,96
22/06/2019 00:55:00	18,22	20,71	21,14	21,20	20,94	20,50	20,01	19,50	19,04	18,61	18,17	17,76	17,35	16,93	16,50	16,03	15,56	15,08	14,60	14,13	13,66	16,98
22/06/2019 01:00:00	18,17	20,63	21,06	21,13	20,82	20,41	19,97	19,49	19,03	18,59	18,15	17,73	17,32	16,89	16,47	16,01	15,54	15,07	14,59	14,12	13,65	16,95
22/06/2019 01:05:00	17,84	20,88	21,42	21,48	21,10	20,62	20,11	19,56	19,00	18,44	17,99	17,57	17,15	16,70	16,26	15,77	15,27	14,78	14,29	13,82	13,34	16,91
22/06/2019 01:10:00	17,43	20,24	21,00	21,31	21,11	20,78	20,38	19,90	19,43	18,95	18,44	17,94	17,45	16,96	16,47	15,96	15,45	14,94	14,43	13,92	13,41	16,91
22/06/2019 01:15:00	17,50	20,59	21,24	21,41	21,16	20,75	20,27	19,73	19,22	18,75	18,23	17,75	17,27	16,80	16,32	15,82	15,32	14,82	14,32	13,83	13,34	16,58
22/06/2019 01:20:00	16,40	19,12	20,14	20,70	20,72	20,49	20,19	19,87	19,43	18,91	18,33	17,77	17,20	16,66	16,11	15,57	15,03	14,49	13,95	13,40	12,86	16,56
22/06/2019 01:25:00	16,77	20,21	20,98	21,19	20,91	20,48	20,00	19,48	18,95	18,44	17,92	17,43	16,95	16,47	15,99	15,49	14,98	14,49	14,00	13,52	13,04	15,78
22/06/2019 01:30:00	16,84	20,13	20,82	21,02	20,77	20,35	19,85	19,29	18,79	18,34	17,83	17,35	16,87	16,40	15,93	15,44	14,94	14,45	13,96	13,49	13,01	16,26
22/06/2019 01:35:00	16,93	19,87	20,62	20,89	20,66	20,29	19,87	19,42	18,96	18,48	17,96	17,48	16,99	16,52	16,04	15,55	15,05	14,56	14,06	13,58	13,09	16,12
22/06/2019 01:40:00	16,79	20,18	20,84	20,98	20,69	20,28	19,82	19,29	18,73	18,18	17,70	17,25	16,79	16,33	15,87	15,36	14,86	14,36	13,86	13,38	12,90	15,73
22/06/2019 01:45:00	17,11	20,23	20,75	20,82	20,50	20,11	19,68	19,16	18,63	18,13	17,65	17,22	16,78	16,34	15,89	15,41	14,93	14,45	13,96	13,48	13,01	15,67
22/06/2019 01:50:00	17,06	20,07	20,73	20,93	20,66	20,20	19,70	19,18	18,67	18,17	17,64	17,14	16,64	16,16	15,67	15,17	14,66	14,17	13,67	13,20	12,72	15,69
22/06/2019 01:55:00	17,23	20,05	20,53	20,62	20,36	19,91	19,40	18,85	18,39	17,98	17,54	17,13	16,72	16,30	15,87	15,41	14,94	14,47	14,00	13,55	13,10	15,72
22/06/2019 02:00:00	17,24	19,90	20,39	20,48	20,23	19,88	19,47	18,98	18,52	18,09	17,63	17,20	16,77	16,34	15,90	15,44	14,97	14,49	14,02	13,55	13,08	15,78
22/06/2019 02:05:00	17,44	19,98	20,38	20,42	20,14	19,70	19,24	18,79	18,36	17,96	17,52	17,13	16,73	16,33	15,92	15,48	15,04	14,59	14,14	13,69	13,24	15,74
22/06/2019 02:10:00	17,42	19,90	20,35	20,44	20,22	19,88	19,46	18,97	18,50	18,04	17,60	17,17	16,75	16,31	15,88	15,40	14,93	14,44	13,95	13,47	12,99	16,03
22/06/2019 02:15:00	17,29	19,90	20,43	20,56	20,30	19,89	19,45	18,99	18,53	18,08	17,64	17,22	16,80	16,37	15,94	15,48	15,01	14,54	14,07	13,61	13,14	15,88
22/06/2019 02:20:00	16,40	19,43	20,23	20,59	20,53	20,21	19,80	19,36	18,91	18,47	17,97	17,48	17,00	16,52	16,03	15,53	15,02	14,51	14,01	13,51	13,00	15,78
22/06/2019 02:25:00	16,21	18,99	19,99	20,52	20,46	20,27	19,98	19,59	19,14	18,66	18,15	17,63	17,12	16,61	16,10	15,57	15,04	14,51	13,98	13,45	12,92	16,12
22/06/2019 02:30:00	15,74	18,43	19,60	20,30	20,39	20,31	20,09	19,74	19,37	18,97	18,43	17,88	17,34	16,81	16,29	15,75	15,22	14,69	14,15	13,60	13,06	15,59
22/06/2019 02:35:00	16,07	19,08	20,12	20,66	20,64	20,38	20,02	19,62	19,18	18,70	18,17	17,64	17,12	16,60	16,08	15,55	15,02	14,49	13,96	13,44	12,92	15,47
22/06/2019 02:40:00	16,62	19,53	20,25	20,54	20,38	20,00	19,59	19,17	18,72	18,26	17,75	17,27	16,79	16,32	15,85	15,36	14,87	14,38	13,89	13,40	12,91	16,22
